SMILES,logKoc
CCSC(=O)N(CC(C)C)CC(C)C,2.9
COc1cc(Cl)c(Cl)c(Cl)c1O,2.9
CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],2.92
CCNc1nc(O)nc(NC(C)C)n1,2.95
O[C@](c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl,2.95
C=Cc1ccccc1,2.96
CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,2.96
Oc1cc(Cl)c(Cl)cc1Cl,2.96
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21,2.98
c1ccc(NNc2ccccc2)cc1,2.98
CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,3.0
CCOc1nc(C(Cl)(Cl)Cl)ns1,3.0
COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,3.0
C[C@H](Oc1ccc(Cl)cc1Cl)C(=O)O,3.0
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,3.0
CCCCCCCC(=O)OCC,3.02
CCCS[P@@](=O)(OCC)Oc1ccc(Br)cc1Cl,3.03
Oc1c(Cl)cc(Cl)cc1Cl,3.03
Oc1cccc2ccccc12,3.03
Clc1ccc(Cl)c(Cl)c1,3.05
CCNc1nc(Cl)nc(N(CC)C(C)C)n1,3.07
CCSc1nc(NC(C)C)nc(NC(C)C)n1,3.07
COP(=O)(OC)O/C(=C/Cl)c1cc(Cl)c(Cl)cc1Cl,3.07
CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-],3.08
O=NN(c1ccccc1)c1ccccc1,3.08
Cc1cccc2c1sc1nncn12,3.09
Oc1ccc(Cl)c(Cl)c1,3.09
CCOC(=O)CN(C(=O)CCl)c1c(CC)cccc1CC,3.11
CCOP(=S)(OCC)SCSCC,3.11
COc1cc(Cl)c(OC)cc1Cl,3.11
c1ccc2ccccc2c1,3.11
Cc1cc(C)c(C)cc1C,3.12
CCOP(=S)(OCC)SCCSCC,3.13
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,3.14
CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.14
O=C(Oc1ccccc1)c1ccccc1,3.16
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,3.17
CCOP(=S)(OCC)Oc1ccc(SC)cc1,3.18
COP(=S)(OC)Oc1ccc(SC)c(C)c1,3.18
Clc1cc(Cl)c(Cl)cc1Cl,3.2
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,3.2
CC(=O)c1ccc(-c2ccccc2)cc1,3.22
c1ccc(/N=N/c2ccccc2)cc1,3.22
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,3.24
c1ccc2[nH]c(-c3cscn3)nc2c1,3.24
COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,3.25
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@H]1Cl,3.25
